id,label,parent
ID,LABEL,SC %
XBFO:0000001,entity nature,
XBFO:0000002,continuant nature,XBFO:0000001
XBFO:0000003,occurrent nature,XBFO:0000001
XBFO:0000004,independent continuant nature,XBFO:0000002
XBFO:0000006,spatial region nature,XBFO:0000141
XBFO:0000008,temporal region nature,XBFO:0000003
XBFO:0000009,two-dimensional spatial region nature,XBFO:0000006
XBFO:0000011,spatiotemporal region nature,XBFO:0000003
XBFO:0000015,process nature,XBFO:0000003
XBFO:0000016,disposition nature,XBFO:0000017
XBFO:0000017,realizable entity nature,XBFO:0000020
XBFO:0000018,zero-dimensional spatial region nature,XBFO:0000006
XBFO:0000019,quality nature,XBFO:0000020
XBFO:0000020,specifically dependent continuant nature,XBFO:0000002
XBFO:0000023,role nature,XBFO:0000017
XBFO:0000024,fiat object part nature,XBFO:0000040
XBFO:0000026,one-dimensional spatial region nature,XBFO:0000006
XBFO:0000027,object aggregate nature,XBFO:0000040
XBFO:0000028,three-dimensional spatial region nature,XBFO:0000006
XBFO:0000029,site nature,XBFO:0000141
XBFO:0000030,object nature,XBFO:0000040
XBFO:0000031,generically dependent continuant nature,XBFO:0000002
XBFO:0000034,function nature,XBFO:0000016
XBFO:0000035,process boundary nature,XBFO:0000003
XBFO:0000038,one-dimensional temporal region nature,XBFO:0000008
XBFO:0000040,material entity nature,XBFO:0000004
XBFO:0000140,continuant fiat boundary nature,XBFO:0000141
XBFO:0000141,immaterial entity nature,XBFO:0000004
XBFO:0000142,one-dimensional continuant fiat boundary nature,XBFO:0000140
XBFO:0000144,process profile nature,XBFO:0000015
XBFO:0000145,relational quality nature,XBFO:0000019
XBFO:0000146,two-dimensional continuant fiat boundary nature,XBFO:0000140
XBFO:0000147,zero-dimensional continuant fiat boundary nature,XBFO:0000140
XBFO:0000148,zero-dimensional temporal region nature,XBFO:0000008
XBFO:0000182,history nature,XBFO:0000015
